Penyakit,Gejala,Solusi
Kutu Loncat (Jeruk),jeruk daun menggulung,"**(Penyebab: Diaphorina citri)**

Langkah Penanganan:
Gunakan insektisida selektif, pangkas bagian terserang, dan kontrol vektor secara rutin"
Kudis Buah (Jeruk),jeruk buah kasar dan rusak,"**(Penyebab: Elsinoe fawcettii)**

Langkah Penanganan:
Pangkas bagian sakit, sanitasi kebun, dan semprot fungisida"
Sooty Mold (Embun Jelaga) (Jeruk),jeruk lapisan hitam seperti jelaga di permukaan daun (akibat kutu).,"**(Penyebab: Lapisan hitam seperti jelaga)**

Langkah Penanganan:
Kendalikan hama penghisap (kutu kebul/kutu daun) yang menghasilkan embun madu."
Bercak Daun (Kacang Hijau),kacang hujau daun bercak coklat,"**(Penyebab: Cercospora canescens)**

Langkah Penanganan:
Sanitasi lahan, rotasi tanaman, dan aplikasikan fungisida"
Karat Daun (Kacang Hijau),kacang hijau daun berbintik karat,"**(Penyebab: Uromyces phaseoli)**

Langkah Penanganan:
Gunakan varietas tahan, semprot fungisida, dan jaga jarak tanam"
Penggerek Polong (Kacang Panjang),kacang panjang polong berlubang,"**(Penyebab: Maruca testulalis)**

Langkah Penanganan:
Gunakan perangkap feromon, panen rutin, dan semprot insektisida"
Kutu Daun (Kacang Panjang),kacang panjang daun keriting,"**(Penyebab: Aphis sp.)**

Langkah Penanganan:
Gunakan insektisida selektif dan musuh alami"
Thrips (Kacang Panjang),kacang panjang daun rusak,"**(Penyebab: Thrips sp.)**

Langkah Penanganan:
Gunakan mulsa perak, sanitasi lahan, dan insektisida selektif"
Antraknosa (Kacang Tanah),kacang tanah daun berwarna kuning terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Colletotrichum gloeosporioides)**

Langkah Penanganan:
Sanitasi kebun dan fungisida"
Karat Daun (Kacang Tanah),kacang tanah daun tetap hijau terdapat bercak pada daun batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Puccinia spp.)**

Langkah Penanganan:
Pemangkasan daun sakit dan fungisida"
Layu Fusarium (Kacang Tanah),kacang tanah daun berwarna kuning daun mengalami kelayuan,"**(Penyebab: Jamur Fusarium oxysporum)**

Langkah Penanganan:
Rotasi tanaman"
Busuk Akar (Kacang Tanah),kacang tanah daun tetap hijau daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur tanah Rhizoctonia solani)**

Langkah Penanganan:
Perbaiki drainase"
Busuk Akar (Kacang Tanah),kacang tanah daun berwarna kuning terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: jamur Rhizoctonia solani)**

Langkah Penanganan:
rotasi tanaman, sanitasi lahan, perbaikan drainase tanah, fungisida"
Hawar Daun Bakteri (Kacang Tanah),kacang tanah pertumbuhan tanaman terhambat,"**(Penyebab: bakteri Xanthomonas spp.)**

Langkah Penanganan:
sanitasi kebun, penggunaan benih sehat, rotasi tanaman, bakterisida"
Jamur Upas (Kacang Tanah),kacang tanah daun berwarna kuning daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: jamur Upasia salmonicolor)**

Langkah Penanganan:
pemangkasan bagian terinfeksi, sanitasi kebun, menjaga kelembapan, fungisida"
Jamur Upas (Kacang Tanah),kacang tanah daun tetap hijau,"**(Penyebab: jamur Upasia salmonicolor)**

Langkah Penanganan:
pemangkasan bagian terinfeksi, sanitasi kebun, menjaga kelembapan, fungisida"
Karat Daun (Kacang Tanah),kacang tanah daun tetap hijau daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: jamur Puccinia arachidis)**

Langkah Penanganan:
rotasi tanaman, sanitasi kebun, varietas tahan, fungisida"
Embun Tepung (Kacang Tanah),kacang tanah daun tetap hijau daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: jamur Erysiphe arachidis)**

Langkah Penanganan:
sirkulasi udara baik, sanitasi kebun, varietas tahan, fungisida"
Layu Fusarium (Kacang Tanah),kacang tanah daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan,"**(Penyebab: jamur Fusarium oxysporum)**

Langkah Penanganan:
rotasi tanaman, benih sehat, sanitasi lahan, fungisida"
Busuk Akar Phytophthora (Kacang Tanah),kacang tanah daun mengalami kelayuan,"**(Penyebab: jamur air Phytophthora spp.)**

Langkah Penanganan:
drainase baik, rotasi tanaman, sanitasi kebun, fungisida"
Busuk Lunak (Kacang Tanah),kacang tanah daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
sanitasi kebun, pengaturan kelembapan, bakterisida"
Busuk Akar Phytophthora (Kacang Tanah),kacang tanah daun berwarna kuning daun mengalami kelayuan,"**(Penyebab: jamur air Phytophthora spp.)**

Langkah Penanganan:
drainase baik, rotasi tanaman, sanitasi lahan, fungisida"
Busuk Hitam (Kacang Tanah),kacang tanah daun berwarna kuning,"**(Penyebab: Jamur Aspergillus niger)**

Langkah Penanganan:
Gunakan benih sehat, rotasi tanaman, sanitasi lahan"
Karat Daun (Kacang Tanah),kacang tanah batang mengalami pembusukan,"**(Penyebab: Jamur Puccinia arachidis)**

Langkah Penanganan:
Varietas tahan, fungisida"
Busuk Hitam (Kacang Tanah),kacang tanah daun mengalami kelayuan,"**(Penyebab: Jamur Aspergillus niger)**

Langkah Penanganan:
rotasi tanaman, penggunaan benih sehat, perbaikan drainase tanah, fungisida tembaga atau mankozeb, sanitasi lahan"
Busuk Hitam (Kacang Tanah),kacang tanah terdapat bercak pada daun batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Aspergillus niger)**

Langkah Penanganan:
rotasi tanaman, benih sehat, perbaikan drainase, fungisida tembaga"
Busuk Buah Botrytis (Kacang Tanah),kacang tanah batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Botrytis cinerea)**

Langkah Penanganan:
sanitasi tanaman sakit, pengurangan kelembaban, fungisida iprodione"
Blas (Kacang Tanah),kacang tanah daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Kacang Tanah),kacang tanah daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Kacang Tanah),kacang tanah daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Kacang Tanah),kacang tanah daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Kacang Tanah),kacang tanah buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Kacang Tanah),kacang tanah buah coklat kehitaman busuk lembek,"**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Kacang Tanah),kacang tanah daun bercak kuning oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Kacang Tanah),kacang tanah daun keriting kerdil berubah kuning,"**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Kacang Tanah),kacang tanah akar membusuk tanaman layu mendadak,"**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Kacang Tanah),kacang tanah buah berlubang kecil biji rusak,"**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Bercak Daun (Kacang Tanah),kacang tanah daun bercak coklat,"**(Penyebab: Cercospora arachidicola)**

Langkah Penanganan:
Rotasi tanaman, sanitasi kebun, dan semprot fungisida"
Karat Daun (Kacang Tanah),kacang tanah daun berkarat,"**(Penyebab: Puccinia arachidis)**

Langkah Penanganan:
Gunakan varietas tahan dan fungisida"
Blas (Kakao),kakao daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Kakao),kakao daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Kakao),kakao daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Kakao),kakao daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Kakao),kakao buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Kakao),kakao buah coklat kehitaman busuk lembek,"**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Kakao),kakao daun bercak kuning oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Kakao),kakao daun keriting kerdil berubah kuning,"**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Kakao),kakao akar membusuk tanaman layu mendadak,"**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Kakao),kakao buah berlubang kecil biji rusak,"**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Busuk Buah (Kakao),kakao buah membusuk coklat,"**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, jaga kebersihan kebun, kurangi kelembapan, dan semprot fungisida"
Penggerek Buah (Kakao),kakao buah berlubang dan rusak,"**(Penyebab: Conopomorpha cramerella)**

Langkah Penanganan:
Bungkus buah, panen rutin, gunakan perangkap, dan aplikasikan insektisida selektif"
Blas (Kedelai),kedelai daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Kedelai),kedelai daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Kedelai),kedelai daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Kedelai),kedelai daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Kedelai),kedelai buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Kedelai),kedelai buah coklat kehitaman busuk lembek,"**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Kedelai),kedelai daun bercak kuning oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Kedelai),kedelai daun keriting kerdil berubah kuning,"**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Kedelai),kedelai akar membusuk tanaman layu mendadak,"**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Kedelai),kedelai buah berlubang kecil biji rusak,"**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Karat Daun (Kedelai),kedelai daun berkarat coklat,"**(Penyebab: Phakopsora pachyrhizi)**

Langkah Penanganan:
Gunakan varietas tahan, rotasi tanaman, dan fungisida"
Ulat Grayak (Kedelai),kedelai daun rusak,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis dan monitoring rutin"
Blas (Kelapa Sawit),kelapa sawit daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Kelapa Sawit),kelapa sawit daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Kelapa Sawit),kelapa sawit daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Kelapa Sawit),kelapa sawit daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Kelapa Sawit),kelapa sawit buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Kelapa Sawit),kelapa sawit buah coklat kehitaman busuk lembek,"**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Kelapa Sawit),kelapa sawit daun bercak kuning oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Kelapa Sawit),kelapa sawit daun keriting kerdil berubah kuning,"**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Kelapa Sawit),kelapa sawit akar membusuk tanaman layu mendadak,"**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Kelapa Sawit),kelapa sawit buah berlubang kecil biji rusak,"**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Busuk Hitam (Kentang),kentang daun tetap hijau terdapat bercak pada daun pertumbuhan tanaman terhambat,"**(Penyebab: Bakteri Xanthomonas campestris)**

Langkah Penanganan:
Gunakan benih sehat, lakukan rotasi tanaman, sanitasi lahan, dan aplikasi bakterisida"
Bercak Daun (Kentang),kentang daun tetap hijau daun mengalami kelayuan,"**(Penyebab: Jamur Alternaria solani)**

Langkah Penanganan:
Penyemprotan fungisida dan sanitasi daun yang terinfeksi"
Bercak Daun Cercospora (Kentang),kentang daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur Cercospora spp.)**

Langkah Penanganan:
Fungisida dan rotasi tanaman"
Busuk Akar Phytophthora (Kentang),kentang daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur Phytophthora infestans)**

Langkah Penanganan:
Fungisida sistemik dan drainase baik"
Embun Tepung (Kentang),kentang daun tetap hijau terdapat bercak pada daun pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Erysiphe spp.)**

Langkah Penanganan:
Gunakan fungisida"
Layu Fusarium (Kentang),kentang daun berwarna kuning daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: jamur Fusarium oxysporum)**

Langkah Penanganan:
rotasi tanaman, penggunaan benih sehat, perbaikan drainase tanah, fungisida"
Hawar Daun Bakteri (Kentang),kentang terdapat bercak pada daun daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: bakteri Xanthomonas spp.)**

Langkah Penanganan:
sanitasi kebun, penggunaan bibit sehat, rotasi tanaman, bakterisida"
Busuk Buah Botrytis (Kentang),kentang terdapat bercak pada daun daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: jamur Botrytis cinerea)**

Langkah Penanganan:
sanitasi kebun, rotasi tanaman, pengaturan kelembapan, fungisida"
Bercak Daun Cercospora (Kentang),kentang daun berwarna kuning terdapat bercak pada daun,"**(Penyebab: jamur Cercospora spp.)**

Langkah Penanganan:
sanitasi daun sakit, rotasi tanaman, fungisida"
Antraknosa (Kentang),kentang daun berwarna kuning terdapat bercak pada daun batang mengalami pembusukan,"**(Penyebab: Jamur Colletotrichum coccodes)**

Langkah Penanganan:
Rotasi tanaman, sanitasi lahan, fungisida"
Busuk Akar Phytophthora (Kentang),kentang terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur Phytophthora infestans)**

Langkah Penanganan:
Rotasi tanaman, fungisida"
Layu Bakteri (Kentang),kentang daun tetap hijau daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Bakteri Ralstonia solanacearum)**

Langkah Penanganan:
rotasi tanaman non-solanaceae, bibit sehat, sanitasi alat pertanian, perbaikan drainase, eradikasi tanaman terinfeksi"
Hawar Daun Bakteri (Kentang),kentang daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Bakteri Xanthomonas campestris)**

Langkah Penanganan:
sanitasi tanaman sakit, rotasi tanaman, bakterisida tembaga, pengendalian kelembaban"
Hawar Daun Bakteri (Kentang),kentang daun tetap hijau terdapat bercak pada daun,"**(Penyebab: Bakteri Xanthomonas spp.)**

Langkah Penanganan:
sanitasi tanaman sakit, rotasi tanaman, bakterisida tembaga"
Jamur Upas (Kentang),kentang daun berwarna kuning terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Upasia salmonicolor)**

Langkah Penanganan:
pemangkasan bagian sakit, sanitasi kebun, fungisida tembaga"
Busuk Lunak (Kentang),kentang pertumbuhan tanaman terhambat,"**(Penyebab: Bakteri Erwinia carotovora)**

Langkah Penanganan:
sanitasi kebun, penyimpanan baik, bakterisida tembaga"
Busuk Hitam (Kentang),kentang daun berwarna kuning daun mengalami kelayuan,"**(Penyebab: Jamur Aspergillus niger)**

Langkah Penanganan:
sanitasi kebun, rotasi tanaman, bibit sehat, fungisida tembaga"
Blas (Kentang),kentang daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Kentang),kentang daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Kentang),kentang daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Kentang),kentang daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Kentang),kentang buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Kentang),kentang buah coklat kehitaman busuk lembek,"**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Kentang),kentang daun bercak kuning oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Kentang),kentang daun keriting kerdil berubah kuning,"**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Kentang),kentang akar membusuk tanaman layu mendadak,"**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Kentang),kentang buah berlubang kecil biji rusak,"**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Busuk Daun (Kentang),kentang daun dan batang membusuk,"**(Penyebab: Phytophthora infestans)**

Langkah Penanganan:
Perbaiki drainase, hindari penyiraman berlebih, dan gunakan fungisida sistemik"
Bercak Kering (Kentang),kentang daun bercak kering,"**(Penyebab: Alternaria solani)**

Langkah Penanganan:
Gunakan fungisida (mankozeb/klorotalonil), lakukan rotasi tanaman, dan sanitasi daun sakit"
Thrips (Kentang),kentang daun rusak,"**(Penyebab: Thrips palmi)**

Langkah Penanganan:
Gunakan insektisida selektif (abamektin/spinosad), pasang perangkap kuning, dan jaga kebersihan lahan"
Blas (Ketimun),ketimun daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Ketimun),ketimun daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Ketimun),ketimun daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Ketimun),ketimun daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Ketimun),ketimun buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Ketimun),ketimun buah coklat kehitaman busuk lembek,"**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Ketimun),ketimun daun bercak kuning oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Ketimun),ketimun daun keriting kerdil berubah kuning,"**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Ketimun),ketimun akar membusuk tanaman layu mendadak,"**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Ketimun),ketimun buah berlubang kecil biji rusak,"**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Antraknosa (Kopi),kopi daun berwarna kuning terdapat bercak pada daun pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Colletotrichum coffeanum)**

Langkah Penanganan:
Sanitasi kebun dan penyemprotan fungisi"
Jamur Upas (Kopi),kopi daun berwarna kuning batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Upasia salmonicolor)**

Langkah Penanganan:
Pangkas cabang terinfeksi dan fungisida"
Busuk Akar (Kopi),kopi terdapat bercak pada daun daun mengalami kelayuan,"**(Penyebab: Jamur tanah seperti Rhizoctonia solani)**

Langkah Penanganan:
Perbaiki drainase tanah, gunakan fungisida tanah"
Layu Bakter (Kopi),kopi daun berwarna kuning terdapat bercak pada daun daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: bakteri Ralstonia solanacearum)**

Langkah Penanganan:
penggunaan bibit sehat, sanitasi lahan, rotasi tanaman, bakterisida"
Embun Tepung (Kopi),kopi daun tetap hijau daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: jamur Oidium spp.)**

Langkah Penanganan:
pemangkasan daun sakit, menjaga sirkulasi udara, sanitasi kebun, fungisida"
Busuk Akar Phytophthora (Kopi),kopi terdapat bercak pada daun daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: jamur air Phytophthora spp.)**

Langkah Penanganan:
drainase baik, sanitasi kebun, fungisida"
Busuk Akar Phytophthora (Kopi),kopi daun berwarna kuning terdapat bercak pada daun pertumbuhan tanaman terhambat,"**(Penyebab: jamur air Phytophthora spp.)**

Langkah Penanganan:
drainase baik, sanitasi kebun, fungisida"
Layu Fusarium (Kopi),kopi daun berwarna kuning terdapat bercak pada daun,"**(Penyebab: Jamur Fusarium spp.)**

Langkah Penanganan:
Sanitasi tanaman, rotasi tanaman, fungisida"
Busuk Lunak (Kopi),kopi terdapat bercak pada daun,"**(Penyebab: Bakteri Erwinia spp.)**

Langkah Penanganan:
Sanitasi tanaman, drainase baik"
Layu Bakteri (Kopi),kopi daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Bakteri Pseudomonas syringae)**

Langkah Penanganan:
sanitasi kebun, pemangkasan bagian sakit, bibit sehat, perbaikan drainase, bakterisida tembaga"
Busuk Akar Phytophthora (Kopi),kopi daun tetap hijau daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur Phytophthora palmivora)**

Langkah Penanganan:
perbaikan drainase tanah, sanitasi kebun, penggunaan bibit sehat, fungisida metalaksil atau fosetil-Al"
Jamur Upas (Kopi),"kopi daun berwarna kuning, terdapat bercak pada daun, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Upasia salmonicolor)**

Langkah Penanganan:
pemangkasan cabang terinfeksi, sanitasi kebun, fungisida tembaga, pengaturan kelembaban kebun"
Bercak Daun (Kopi),kopi terdapat bercak pada daun pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Cercospora coffeicola)**

Langkah Penanganan:
sanitasi daun sakit, pengaturan naungan, fungisida mankozeb atau klorotalonil"
Blas (Kopi),kopi daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Kopi),kopi daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Kopi),kopi daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Kopi),kopi daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Kopi),kopi buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Kopi),kopi buah coklat kehitaman busuk lembek,"**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Kopi),kopi daun bercak kuning oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Kopi),kopi daun keriting kerdil berubah kuning,"**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Kopi),kopi akar membusuk tanaman layu mendadak,"**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Kopi),"kopi buah berlubang kecil, biji rusak","**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Busuk Akar (Kubis),kubis daun tetap hijau daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Rhizoctonia solani)**

Langkah Penanganan:
Drainase tanah yang baik dan fungisida"
Antraknosa (Kubis),kubis terdapat bercak pada daun batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Colletotrichum spp.)**

Langkah Penanganan:
Sanitasi kebun dan fungisida"
