sumber_data;nama_tanaman;jenis_hama_penyakit_tanaman;gejala;Organisme Penyebab;solusi
kaggle;Kentang;Jamur Upas;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Upasia salmonicolor;pemangkasan bagian sakit, sanitasi kebun, fungisida tembaga
kaggle;Kentang;Busuk Lunak;Pertumbuhan tanaman terhambat;Bakteri Erwinia carotovora;sanitasi kebun, penyimpanan baik, bakterisida tembaga
kaggle;Kentang;Busuk Hitam;Daun berwarna kuning, Daun mengalami kelayuan;Jamur Aspergillus niger;sanitasi kebun, rotasi tanaman, bibit sehat, fungisida tembaga
manual;Kentang;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Kentang;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Kentang;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Kentang;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Kentang;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Kentang;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Kentang;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Kentang;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Kentang;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Kentang;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
manual;Ketimun;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Ketimun;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Ketimun;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Ketimun;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Ketimun;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Ketimun;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Ketimun;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Ketimun;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Ketimun;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Ketimun;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
kaggle;Kopi;Antraknosa;Daun berwarna kuning, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;Jamur Colletotrichum coffeanum;Sanitasi kebun dan penyemprotan fungisi
kaggle;Kopi;Jamur Upas;Daun berwarna kuning, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Upasia salmonicolor;Pangkas cabang terinfeksi dan fungisida
kaggle;Kopi;Busuk Akar;Terdapat bercak pada daun, Daun mengalami kelayuan;Jamur tanah seperti Rhizoctonia solani;Perbaiki drainase tanah, gunakan fungisida tanah
kaggle;Kopi;Layu Bakter;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;bakteri Ralstonia solanacearum;penggunaan bibit sehat, sanitasi lahan, rotasi tanaman, bakterisida
kaggle;Kopi;Embun Tepung;Daun tetap hijau, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;jamur Oidium spp.;pemangkasan daun sakit, menjaga sirkulasi udara, sanitasi kebun, fungisida
kaggle;Kopi;Busuk Akar Phytophthora;Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;jamur air Phytophthora spp.;drainase baik, sanitasi kebun, fungisida
kaggle;Kopi;Busuk Akar Phytophthora;Daun berwarna kuning, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;jamur air Phytophthora spp.;drainase baik, sanitasi kebun, fungisida
kaggle;Kopi;Layu Fusarium;Daun berwarna kuning, Terdapat bercak pada daun;Jamur Fusarium spp.;Sanitasi tanaman, rotasi tanaman, fungisida
kaggle;Kopi;Busuk Lunak;Terdapat bercak pada daun;Bakteri Erwinia spp.;Sanitasi tanaman, drainase baik
kaggle;Kopi;Layu Bakteri;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Bakteri Pseudomonas syringae;sanitasi kebun, pemangkasan bagian sakit, bibit sehat, perbaikan drainase, bakterisida tembaga
kaggle;Kopi;Busuk Akar Phytophthora;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Phytophthora palmivora;perbaikan drainase tanah, sanitasi kebun, penggunaan bibit sehat, fungisida metalaksil atau fosetil-Al
kaggle;Kopi;Jamur Upas;Daun berwarna kuning, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;Jamur Upasia salmonicolor;pemangkasan cabang terinfeksi, sanitasi kebun, fungisida tembaga, pengaturan kelembaban kebun
kaggle;Kopi;Bercak Daun;Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;Jamur Cercospora coffeicola;sanitasi daun sakit, pengaturan naungan, fungisida mankozeb atau klorotalonil
manual;Kopi;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Kopi;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Kopi;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Kopi;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Kopi;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Kopi;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Kopi;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Kopi;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Kopi;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Kopi;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
kaggle;Kubis;Busuk Akar;Daun tetap hijau, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Jamur Rhizoctonia solani;Drainase tanah yang baik dan fungisida
kaggle;Kubis;Antraknosa;Terdapat bercak pada daun, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Colletotrichum spp.;Sanitasi kebun dan fungisida
kaggle;Kubis;Busuk Lunak;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan;Bakteri Pectobacterium carotovorum;Gunakan varietas tahan dan bakterisida
kaggle;Kubis;Karat Daun;Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur karat daun;Gunakan fungisida dan rotasi tanaman
kaggle;Kubis;Busuk Akar Phytophthora;Daun tetap hijau, Pertumbuhan tanaman terhambat;Jamur Phytophthora spp.;Perbaiki drainase tanah
kaggle;Kubis;Embun Tepung;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Erysiphe cruciferarum;menjaga sirkulasi udara, sanitasi kebun, varietas tahan, fungisida sulfur
kaggle;Kubis;Bercak Daun;Daun tetap hijau, Terdapat bercak pada daun, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Alternaria brassicae;sanitasi daun sakit, rotasi tanaman, varietas tahan, fungisida
kaggle;Kubis;Layu Bakteri;Daun berwarna kuning, Terdapat bercak pada daun;bakteri Xanthomonas campestris;benih sehat, sanitasi kebun, rotasi tanaman, bakterisida
kaggle;Kubis;Busuk Lunak;Terdapat bercak pada daun, Batang mengalami pembusukan;bakteri Pectobacterium carotovorum;sanitasi kebun, pengaturan kelembapan, bakterisida
kaggle;Kubis;Busuk Akar Phytophthora;Daun berwarna kuning, Daun mengalami kelayuan;jamur air Phytophthora spp.;drainase baik, rotasi tanaman, fungisida
kaggle;Kubis;Antraknosa;Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Colletotrichum spp.;sanitasi kebun, rotasi tanaman, fungisida
kaggle;Kubis;Hawar Daun Bakteri;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Bakteri Xanthomonas campestris;Benih sehat, sanitasi tanaman
kaggle;Kubis;Busuk Hitam;Daun berwarna kuning, Daun mengalami kelayuan, Batang mengalami pembusukan;Bakteri Xanthomonas campestris;benih bebas patogen, sanitasi lahan, rotasi tanaman, bakterisida tembaga
kaggle;Mangga;Karat Daun;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan;Jamur Puccinia spp.;Pemangkasan daun terinfeksi, sanitasi kebun, meningkatkan sirkulasi udara, dan penyemprotan fungisida
kaggle;Mangga;Hawar Daun Bakteri;Daun berwarna kuning;Bakteri Xanthomonas oryzae;Gunakan varietas tahan penyakit, pengaturan air, dan penyemprotan bakterisida
kaggle;Mangga;Busuk Lunak;Daun tetap hijau, Pertumbuhan tanaman terhambat;Bakteri Pectobacterium carotovorum;Kurangi kelembaban dan sanitasi tanaman
kaggle;Mangga;Karat Daun;Terdapat bercak pada daun, Batang mengalami pembusukan;Jamur Puccinia spp.;Fungisida dan sanitasi daun
kaggle;Mangga;Busuk Akar;Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Rhizoctonia solani;Perbaiki drainase tanah
kaggle;Mangga;Jamur Upas;Daun berwarna kuning, Terdapat bercak pada daun;Jamur Corticium salmonicolor;Pangkas cabang terinfeksi, jaga sirkulasi udara, semprot fungisida tembaga
kaggle;Mangga;Busuk Buah Botrytis;Terdapat bercak pada daun, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Botrytis cinerea;Buang buah terinfeksi, semprot fungisida
kaggle;Mangga;Jamur Upas;Daun berwarna kuning, Batang mengalami pembusukan;Jamur Corticium salmonicolor;Pangkas cabang sakit dan semprot fungisida
kaggle;Mangga;Busuk Akar Phytophthora;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur air Phytophthora spp.;Perbaiki drainase tanah dan gunakan fungisida sistemik
kaggle;Mangga;Busuk Akar Phytophthora;Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Phytophthora spp.;Perbaiki drainase dan gunakan fungisida
kaggle;Mangga;Karat Daun;Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur karat daun;Semprot fungisida
kaggle;Mangga;Embun Tepung;Terdapat bercak pada daun, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Oidium spp.;Gunakan fungisida sulfur
kaggle;Mangga;Karat Daun;Terdapat bercak pada daun, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Puccinia spp.;pemangkasan daun sakit, sanitasi kebun, peningkatan sirkulasi udara, fungisida
kaggle;Mangga;Antraknosa;Daun berwarna kuning, Terdapat bercak pada daun, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Colletotrichum gloeosporioides;pemangkasan bagian sakit, sanitasi kebun, menjaga kelembapan, fungisida
kaggle;Mangga;Bercak Daun;Daun berwarna kuning, Pertumbuhan tanaman terhambat;jamur Cercospora mangiferae;pemangkasan daun sakit, sanitasi kebun, rotasi tanaman, fungisida
kaggle;Mangga;Antraknosa;Daun tetap hijau, Daun mengalami kelayuan;jamur Colletotrichum gloeosporioides;pemangkasan daun sakit, sanitasi kebun, menjaga kelembapan, fungisida
kaggle;Mangga;Busuk Lunak;Daun tetap hijau, Batang mengalami pembusukan;bakteri Pectobacterium carotovorum;sanitasi kebun, pengaturan kelembapan, penggunaan bibit sehat, bakterisida
kaggle;Mangga;Layu Bakteri;Daun tetap hijau, Terdapat bercak pada daun, Batang mengalami pembusukan;bakteri Ralstonia solanacearum;bibit sehat, sanitasi kebun, rotasi tanaman, bakterisida
kaggle;Mangga;Busuk Hitam;Batang mengalami pembusukan;jamur Alternaria spp.;sanitasi tanaman sakit, pemangkasan, fungisida, rotasi tanaman
kaggle;Mangga;Antraknosa;Batang mengalami pembusukan;Jamur Colletotrichum gloeosporioides;Sanitasi tanaman, fungisida
kaggle;Mangga;Karat Daun;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Puccinia mangiferae;sanitasi daun terinfeksi, pemangkasan, fungisida mankozeb
kaggle;Mangga;Busuk Akar Phytophthora;Daun mengalami kelayuan;Jamur Phytophthora palmivora;perbaikan drainase tanah, sanitasi kebun, fungisida fosetil-Al
kaggle;Mangga;Busuk Akar Phytophthora;Daun berwarna kuning, Pertumbuhan tanaman terhambat;Jamur Phytophthora palmivora;perbaikan drainase tanah, sanitasi kebun, fungisida fosetil-Al
manual;Mangga;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Mangga;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Mangga;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Mangga;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Mangga;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Mangga;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Mangga;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Mangga;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Mangga;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Mangga;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
kaggle;Melon;Antraknosa;Daun berwarna kuning, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Colletotrichum gloeosporioides;Penyemprotan fungisida, sanitasi kebun, dan pemangkasan bagian tanaman yang terinfeksi
kaggle;Melon;Bercak Daun;Daun tetap hijau, Terdapat bercak pada daun, Batang mengalami pembusukan;Jamur Alternaria spp.;Penyemprotan fungisida
kaggle;Melon;Busuk Buah Botrytis;Daun berwarna kuning, Terdapat bercak pada daun, Batang mengalami pembusukan;Jamur Botrytis cinerea;Gunakan fungisida dan kurangi kelembapan
kaggle;Melon;Busuk Hitam;Daun berwarna kuning, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Alternaria spp.;Fungisida dan sanitasi kebun
kaggle;Melon;Bercak Daun Cercospora;Daun berwarna kuning, Terdapat bercak pada daun, Batang mengalami pembusukan;Jamur Cercospora spp.;Gunakan fungisida
kaggle;Melon;Embun Tepung;Daun berwarna kuning, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Erysiphe spp.;Gunakan fungisida sulfur
kaggle;Melon;Karat Daun;Daun berwarna kuning, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;Jamur karat daun;Fungisida dan sanitasi kebun
kaggle;Melon;Busuk Hitam;Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;jamur Didymella bryoniae;rotasi tanaman, sanitasi kebun, pengaturan kelembapan, fungisida
kaggle;Melon;Layu Bakteri;Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;bakteri Ralstonia solanacearum;penggunaan bibit sehat, rotasi tanaman, sanitasi kebun, bakterisida
kaggle;Melon;Busuk Hitam;Daun berwarna kuning, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Didymella bryoniae;rotasi tanaman, sanitasi kebun, pengaturan kelembapan, fungisida
kaggle;Melon;Karat Daun;Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;jamur Puccinia spp.;sanitasi kebun, rotasi tanaman, varietas tahan, fungisida
kaggle;Melon;Antraknosa;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;jamur Colletotrichum lagenarium;rotasi tanaman, sanitasi kebun, penggunaan benih sehat, fungisida
kaggle;Melon;Jamur Upas;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;jamur Upasia salmonicolor;pemangkasan bagian sakit, sanitasi kebun, menjaga kelembapan, fungisida
kaggle;Melon;Busuk Lunak;Terdapat bercak pada daun;Bakteri Erwinia carotovora;Sanitasi tanaman, drainase baik, bakterisida
kaggle;Melon;Busuk Akar;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Jamur Pythium spp.;Perbaiki drainase, rotasi tanaman, fungisida
kaggle;Melon;Antraknosa;Daun tetap hijau, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Colletotrichum lagenarium;Sanitasi tanaman, rotasi tanaman, fungisida
kaggle;Melon;Bercak Daun Cercospora;Daun berwarna kuning, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;Jamur Cercospora citrullina;Sanitasi daun sakit, fungisida
kaggle;Melon;Busuk Akar;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Pythium spp.;Drainase baik, rotasi tanaman
kaggle;Melon;Layu Bakteri;Daun tetap hijau, Batang mengalami pembusukan;Bakteri Erwinia tracheiphila;pengendalian serangga vektor, sanitasi tanaman sakit, rotasi tanaman, varietas tahan
kaggle;Melon;Busuk Hitam;Daun mengalami kelayuan;Jamur Aspergillus niger;sanitasi buah sakit, rotasi tanaman, fungisida mankozeb
kaggle;Melon;Bercak Daun;Terdapat bercak pada daun, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Cercospora citrullina;sanitasi daun sakit, rotasi tanaman, fungisida klorotalonil
kaggle;Padi;Busuk Lunak;Daun coklat,;Bakteri pembusuk jaringan tanaman;Gunakan benih sehat dan sanitasi lahan
kaggle;Padi;Karat Daun;Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur karat;Gunakan varietas tahan penyakit
kaggle;Padi;Antraknosa;Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Colletotrichum spp.;Fungisida dan rotasi tanaman
kaggle;Padi;Embun Tepung;Daun tetap hijau;jamur Erysiphe spp.;varietas tahan, pengaturan jarak tanam, sanitasi lahan, fungisida
kaggle;Padi;Karat Daun;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Puccinia spp.;varietas tahan, sanitasi lahan, rotasi tanaman, fungisida
kaggle;Padi;Busuk Hitam;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;bakteri Pectobacterium spp.;sanitasi lahan, penggunaan bibit sehat, pengaturan air, bakterisida
kaggle;Padi;Busuk Buah Botrytis;Daun tetap hijau;jamur Botrytis cinerea;sanitasi tanaman sakit, pengaturan kelembapan, rotasi tanaman, fungisida
kaggle;Padi;Busuk Akar Phytophthora;Daun berwarna kuning, Batang mengalami pembusukan;jamur air Phytophthora spp.;drainase baik, rotasi tanaman, sanitasi lahan, fungisida
kaggle;Padi;Bercak Daun Cercospora;Daun berwarna kuning, Daun mengalami kelayuan;jamur Cercospora oryzae;sanitasi lahan, varietas tahan, rotasi tanaman, fungisida
kaggle;Padi;Karat Daun;Daun tetap hijau, Batang mengalami pembusukan;jamur Puccinia spp.;varietas tahan, sanitasi lahan, fungisida
kaggle;Padi;Antraknosa;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Colletotrichum spp.;Sanitasi lahan, rotasi tanaman, pengaturan kelembapan, fungisida
kaggle;Padi;Karat Daun;Daun berwarna kuning, Batang mengalami pembusukan;Jamur Puccinia spp.;Gunakan varietas tahan, pemupukan seimbang, fungisida
kaggle;Padi;Busuk Akar;Daun berwarna kuning, Daun mengalami kelayuan;Jamur Rhizoctonia solani;Drainase baik, rotasi tanaman, fungisida
kaggle;Padi;Bercak Daun Cercospora;Daun berwarna kuning, Daun mengalami kelayuan;Jamur Cercospora oryzae;Sanitasi lahan, fungisida
kaggle;Padi;Antraknosa;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Colletotrichum spp.;Sanitasi lahan, fungisida
kaggle;Padi;Karat Daun;Daun berwarna kuning, Batang mengalami pembusukan;Jamur Puccinia spp.;Varietas tahan, fungisida
kaggle;Padi;Busuk Buah Botrytis;Daun tetap hijau, Batang mengalami pembusukan;Jamur Botrytis cinerea;pengaturan jarak tanam, pengurangan kelembaban lahan, sanitasi sisa tanaman, fungisida iprodione atau mankozeb
kaggle;Padi;Bercak Daun Cercospora;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Cercospora oryzae;rotasi tanaman, sanitasi lahan, fungisida mankozeb
kaggle;Padi;Bercak Daun Cercospora;Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Cercospora oryzae;rotasi tanaman, sanitasi lahan, fungisida mankozeb
manual;Padi;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Padi;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Padi;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Padi;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Padi;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Padi;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Padi;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Padi;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Padi;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Padi;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
kaggle;Pepaya;Bercak Daun;Daun berwarna kuning, Terdapat bercak pada daun, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Alternaria alternata;Penyemprotan fungisida, membuang daun terinfeksi, dan menjaga sirkulasi udara
kaggle;Pepaya;Embun Tepung;Daun tetap hijau, Terdapat bercak pada daun, Batang mengalami pembusukan;Jamur Erysiphe cichoracearum;Penyemprotan fungisida sulfur dan pengurangan kelembaban
kaggle;Pepaya;Layu Bakteri;Daun mengalami kelayuan;Bakteri Ralstonia solanacearum;Sanitasi lahan, rotasi tanaman, dan penggunaan bibit seha
kaggle;Pepaya;Busuk Lunak;Terdapat bercak pada daun;Bakteri Erwinia carotovora;Buang bagian tanaman terinfeksi, kurangi kelembapan, gunakan bakterisida
kaggle;Pepaya;Busuk Lunak;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Bakteri Erwinia carotovora;Sanitasi kebun dan bakterisida
kaggle;Pepaya;Bercak Daun;Daun tetap hijau;jamur Cercospora papayae;sanitasi daun sakit, rotasi tanaman, menjaga kelembapan, fungisida
kaggle;Pepaya;Layu Fusarium;Daun tetap hijau;jamur Fusarium oxysporum;rotasi tanaman, bibit sehat, drainase baik, fungisida
kaggle;Pepaya;Embun Tepung;Daun mengalami kelayuan, Batang mengalami pembusukan;jamur Oidium caricae;sanitasi daun sakit, sirkulasi udara baik, pengaturan kelembapan, fungisida
kaggle;Pepaya;Hawar Daun Bakteri;Daun tetap hijau, Pertumbuhan tanaman terhambat;bakteri Xanthomonas spp.;benih sehat, sanitasi kebun, rotasi tanaman, bakterisida
kaggle;Pepaya;Antraknosa;Daun tetap hijau, Terdapat bercak pada daun, Batang mengalami pembusukan;jamur Colletotrichum gloeosporioides;sanitasi tanaman, pemangkasan, fungisida
kaggle;Pepaya;Antraknosa;Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Colletotrichum gloeosporioides;Sanitasi tanaman, fungisida, rotasi tanaman
kaggle;Pepaya;Karat Daun;Daun berwarna coklat;Jamur Puccinia spp.;Sanitasi daun sakit, fungisida
kaggle;Pepaya;Bercak Daun Cercospora;Terdapat bercak pada daun, Daun mengalami kelayuan;Jamur Cercospora papayae;sanitasi daun sakit, pengaturan jarak tanam, fungisida mankozeb
manual;Pepaya;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Pepaya;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Pepaya;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Pepaya;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Pepaya;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Pepaya;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Pepaya;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Pepaya;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Pepaya;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Pepaya;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
